objid,RA,DEC,Z,nQ,PROB
6dFg0913018-015355,138.2575,-1.89864,0.03969,3.0,0.0
6dFg0913203-014854,138.33454,-1.81486,0.0699,3.0,0.0
6dFg0913340-001510,138.39179,-0.25264,0.07016,3.0,0.0
6dFg0913457-015128,138.44037,-1.85769,0.03995,3.0,0.0
6dFg0914177-011250,138.57375,-1.21378,0.05551,3.0,0.0
6dFg0915063-004306,138.77629,-0.71828,0.05383,3.0,0.0
6dFg0915207-012524,138.83604,-1.42339,0.05514,3.0,0.0
6dFg0915397-012050,138.91546,-1.34708,0.05466,3.0,0.0
6dFg0915521-013235,138.96687,-1.54314,0.06947,3.0,0.0
6dFg0916122-004158,139.05062,-0.69947,0.03907,3.0,0.0
6dFg0916263-000730,139.10971,-0.12511,0.08784,3.0,0.0
6dFg0916412-015630,139.1715,-1.94156,0.05498,3.0,0.0
6dFg0916600-010915,139.24992,-1.15417,0.0899,3.0,0.0
6dFg0917290-003714,139.37088,-0.62058,0.01636,3.0,0.0
6dFg0917349-003457,139.39554,-0.58256,0.01689,3.0,0.0
6dFg0917508-001642,139.46167,-0.27833,0.01758,3.0,0.0
6dFg0917549-012737,139.47887,-1.46036,0.07359,3.0,0.0
6dFg0918123-013642,139.55117,-1.61158,0.08819,3.0,0.0
6dFg0918591-001259,139.74617,-0.2165,0.05579,3.0,0.0
6dFg0920056-012803,140.0235,-1.46758,0.03849,3.0,0.0
6dFg0920148-004329,140.06162,-0.72464,0.0701,3.0,0.0
6dFg0920182-012246,140.07596,-1.37944,0.10254,3.0,0.0
6dFg0920266-010107,140.11087,-1.01867,0.02894,3.0,0.0
6dFg0920375-004046,140.15625,-0.6795,0.01173,3.0,0.0
6dFg0921138-001350,140.30733,-0.23042,0.05505,3.0,0.0
6dFg0921246-002435,140.35229,-0.40958,0.1537,3.0,0.0
6dFg0921251-000344,140.35454,-0.06208,0.08762,3.0,0.0
6dFg0922162-010225,140.56762,-1.04031,0.05505,3.0,0.0
6dFg0922174-003249,140.57229,-0.54694,0.05617,3.0,0.0
6dFg0922309-005134,140.62887,-0.8595,0.05492,3.0,0.0
6dFg0922331-005814,140.63792,-0.97042,0.02307,3.0,0.0
